"Município";"Leitos Repouso/Observação Ped";"Leitos Repouso/Observação Femin";"Leitos Repouso/Observação Masc";"Leitos Repouso/Observação Indif"
"110001 Alta Floresta D'Oeste";-;-;-;-
"110037 Alto Alegre dos Parecis";4;4;4;-
"110040 Alto Paraíso";1;1;1;-
"110034 Alvorada D'Oeste";-;-;-;7
"110002 Ariquemes";5;-;-;12
"110045 Buritis";3;2;2;4
"110003 Cabixi";-;-;-;-
"110060 Cacaulândia";-;-;-;-
"110004 Cacoal";5;4;-;43
"110070 Campo Novo de Rondônia";4;6;4;-
"110080 Candeias do Jamari";5;5;5;-
"110090 Castanheiras";-;1;1;2
"110005 Cerejeiras";-;-;-;3
"110092 Chupinguaia";2;3;3;2
"110006 Colorado do Oeste";-;-;-;-
"110007 Corumbiara";-;-;-;-
"110008 Costa Marques";1;-;-;2
"110094 Cujubim";-;-;-;-
"110009 Espigão D'Oeste";-;-;-;10
"110100 Governador Jorge Teixeira";-;-;-;2
"110010 Guajará-Mirim";-;-;-;-
"110110 Itapuã do Oeste";-;-;-;-
"110011 Jaru";-;-;-;29
"110012 Ji-Paraná";-;-;5;25
"110013 Machadinho D'Oeste";-;-;2;4
"110120 Ministro Andreazza";-;-;-;-
"110130 Mirante da Serra";-;-;-;3
"110140 Monte Negro";-;-;-;-
"110014 Nova Brasilândia D'Oeste";-;-;-;-
"110033 Nova Mamoré";-;-;-;-
"110143 Nova União";-;-;-;1
"110050 Novo Horizonte do Oeste";5;7;6;3
"110015 Ouro Preto do Oeste";-;-;-;1
"110145 Parecis";-;-;-;-
"110018 Pimenta Bueno";-;-;-;4
"110146 Pimenteiras do Oeste";-;-;-;-
"110020 Porto Velho";29;6;5;80
"110025 Presidente Médici";-;-;-;3
"110147 Primavera de Rondônia";-;3;3;-
"110026 Rio Crespo";-;1;1;-
"110028 Rolim de Moura";7;1;-;12
"110029 Santa Luzia D'Oeste";-;-;-;2
"110148 São Felipe D'Oeste";2;3;2;2
"110149 São Francisco do Guaporé";-;-;-;8
"110032 São Miguel do Guaporé";-;-;-;2
"110150 Seringueiras";-;3;-;3
"110155 Teixeirópolis";-;-;-;-
"110160 Theobroma";-;-;-;2
"110170 Urupá";-;-;-;-
"110175 Vale do Anari";1;2;4;2
"110180 Vale do Paraíso";-;-;-;5
"110030 Vilhena";1;4;5;19
"110000 Município ignorado - RO";-;-;-;-
"120001 Acrelândia";-;-;-;-
"120005 Assis Brasil";-;-;-;-
"120010 Brasiléia";4;2;2;3
"120013 Bujari";-;-;-;-
"120017 Capixaba";-;-;-;-
"120020 Cruzeiro do Sul";-;8;6;8
"120025 Epitaciolândia";-;-;-;-
"120030 Feijó";-;-;-;-
"120032 Jordão";-;-;-;-
"120033 Mâncio Lima";-;-;-;2
"120034 Manoel Urbano";-;-;-;-
"120035 Marechal Thaumaturgo";-;-;-;5
"120038 Plácido de Castro";-;-;-;-
"120080 Porto Acre";-;-;-;-
"120039 Porto Walter";-;-;-;-
"120040 Rio Branco";37;21;7;162
"120042 Rodrigues Alves";-;-;-;2
"120043 Santa Rosa do Purus";-;-;-;-
"120050 Sena Madureira";-;-;-;1
"120045 Senador Guiomard";-;-;-;1
"120060 Tarauacá";-;-;-;-
