"Município";"Leitos Repouso/Observação Ped";"Leitos Repouso/Observação Fem";"Leitos Repouso/Observação Masc";"Leitos Repouso/Observação Indif"
"110001 Alta Floresta D'Oeste";-;-;-;-
"110037 Alto Alegre dos Parecis";-;-;-;1
"110040 Alto Paraíso";3;4;4;-
"110034 Alvorada D'Oeste";-;-;-;4
"110002 Ariquemes";4;-;-;16
"110045 Buritis";2;2;2;13
"110003 Cabixi";-;-;-;3
"110060 Cacaulândia";-;-;-;-
"110004 Cacoal";17;-;-;18
"110070 Campo Novo de Rondônia";-;-;-;-
"110080 Candeias do Jamari";-;-;-;-
"110090 Castanheiras";-;-;-;-
"110005 Cerejeiras";-;1;1;-
"110092 Chupinguaia";2;5;5;-
"110006 Colorado do Oeste";-;-;-;3
"110007 Corumbiara";-;-;1;-
"110008 Costa Marques";-;-;-;2
"110094 Cujubim";-;-;-;11
"110009 Espigão D'Oeste";-;-;-;6
"110100 Governador Jorge Teixeira";-;-;-;1
"110010 Guajará-Mirim";-;-;-;6
"110110 Itapuã do Oeste";-;-;-;-
"110011 Jaru";-;-;-;2
"110012 Ji-Paraná";12;3;4;32
"110013 Machadinho D'Oeste";-;-;-;-
"110120 Ministro Andreazza";-;-;-;2
"110130 Mirante da Serra";-;-;-;2
"110140 Monte Negro";-;-;-;5
"110014 Nova Brasilândia D'Oeste";-;-;-;-
"110033 Nova Mamoré";-;-;-;6
"110143 Nova União";-;-;-;4
"110050 Novo Horizonte do Oeste";-;-;-;1
"110015 Ouro Preto do Oeste";10;-;6;1
"110145 Parecis";-;-;-;-
"110018 Pimenta Bueno";-;-;-;5
"110146 Pimenteiras do Oeste";-;-;-;-
"110020 Porto Velho";30;32;27;83
"110025 Presidente Médici";-;-;-;8
"110147 Primavera de Rondônia";-;-;-;-
"110026 Rio Crespo";1;3;4;-
"110028 Rolim de Moura";-;-;-;5
"110029 Santa Luzia D'Oeste";-;-;-;-
"110148 São Felipe D'Oeste";-;-;-;-
"110149 São Francisco do Guaporé";4;4;6;-
"110032 São Miguel do Guaporé";2;5;4;-
"110150 Seringueiras";-;-;-;2
"110155 Teixeirópolis";-;-;-;-
"110160 Theobroma";-;-;-;-
"110170 Urupá";-;-;-;-
"110175 Vale do Anari";-;-;-;1
"110180 Vale do Paraíso";-;-;-;5
"110030 Vilhena";2;2;2;18
"110000 Município ignorado - RO";-;-;-;-
"120001 Acrelândia";-;-;-;2
"120005 Assis Brasil";-;-;-;-
"120010 Brasiléia";-;-;-;-
"120013 Bujari";-;-;-;-
"120017 Capixaba";-;-;-;-
"120020 Cruzeiro do Sul";12;14;19;5
"120025 Epitaciolândia";-;-;-;-
"120030 Feijó";3;-;-;5
"120032 Jordão";-;-;-;-
"120033 Mâncio Lima";-;-;-;6
"120034 Manoel Urbano";-;-;-;3
"120035 Marechal Thaumaturgo";-;-;-;-
"120038 Plácido de Castro";-;-;-;3
"120080 Porto Acre";-;-;-;-
"120039 Porto Walter";-;-;-;-
"120040 Rio Branco";32;23;14;42
"120042 Rodrigues Alves";-;-;-;-
"120043 Santa Rosa do Purus";-;-;-;-
"120050 Sena Madureira";-;-;-;5
"120045 Senador Guiomard";3;-;-;6
"120060 Tarauacá";-;2;2;-
"120070 Xapuri";-;-;-;3
"120000 Município ignorado - AC";-;-;-;-
"130002 Alvarães";2;2;2;-
"130006 Amaturá";-;-;-;-
"130008 Anamã";-;-;-;3
"130010 Anori";-;-;-;-
"130014 Apuí";2;6;2;-
"130020 Atalaia do Norte";-;-;-;3
"130030 Autazes";7;-;-;8
"130040 Barcelos";-;-;-;-
"130050 Barreirinha";-;-;-;-
"130060 Benjamin Constant";-;2;2;-
"130063 Beruri";-;-;-;-
"130068 Boa Vista do Ramos";-;-;-;3
"130070 Boca do Acre";10;18;7;2
"130080 Borba";3;3;3;-
"130083 Caapiranga";-;-;-;2
"130090 Canutama";2;2;2;-
"130100 Carauari";-;5;5;-
"130110 Careiro";-;-;-;3
"130115 Careiro da Várzea";-;-;-;-
"130120 Coari";8;6;6;8
"130130 Codajás";4;6;8;-
"130140 Eirunepé";2;2;2;-
"130150 Envira";-;-;-;1
"130160 Fonte Boa";6;6;6;-
"130165 Guajará";2;2;2;-
"130170 Humaitá";4;2;2;1
"130180 Ipixuna";3;-;-;3
"130185 Iranduba";-;5;4;2
"130190 Itacoatiara";-;-;-;13
"130195 Itamarati";-;-;-;2
"130200 Itapiranga";-;-;-;2
"130210 Japurá";-;-;-;4
"130220 Juruá";-;-;-;1
"130230 Jutaí";2;1;1;2
"130240 Lábrea";2;2;2;5
"130250 Manacapuru";8;8;9;-
"130255 Manaquiri";-;-;-;-
"130260 Manaus";167;149;123;300
"130270 Manicoré";-;-;-;8
"130280 Maraã";-;1;-;-
"130290 Maués";6;6;5;8
"130300 Nhamundá";-;-;-;9
"130310 Nova Olinda do Norte";-;4;-;-
"130320 Novo Airão";-;-;-;5
"130330 Novo Aripuanã";2;5;5;-
"130340 Parintins";12;12;13;4
"130350 Pauini";-;-;-;2
"130353 Presidente Figueiredo";4;5;6;-
"130356 Rio Preto da Eva";2;2;2;6
"130360 Santa Isabel do Rio Negro";-;-;-;4
"130370 Santo Antônio do Içá";-;-;-;6
"130380 São Gabriel da Cachoeira";12;-;-;20
"130390 São Paulo de Olivença";2;2;2;-
"130395 São Sebastião do Uatumã";-;-;-;1
"130400 Silves";2;2;2;-
"130406 Tabatinga";7;8;7;-
"130410 Tapauá";-;6;3;6
"130420 Tefé";3;-;-;1
"130423 Tonantins";-;-;-;2
"130426 Uarini";2;2;2;-
"130430 Urucará";2;2;2;-
"130440 Urucurituba";-;-;-;7
"130000 Município ignorado - AM";-;-;-;-
"140005 Alto Alegre";-;-;-;4
"140002 Amajari";-;-;-;1
"140010 Boa Vista";16;3;7;84
"140015 Bonfim";-;-;-;1
"140017 Cantá";-;-;-;-
"140020 Caracaraí";-;-;-;3
"140023 Caroebe";-;1;1;1
"140028 Iracema";-;-;-;-
"140030 Mucajaí";-;-;-;-
"140040 Normandia";-;-;-;-
"140045 Pacaraima";1;-;-;-
"140047 Rorainópolis";-;-;2;1
"140050 São João da Baliza";-;-;-;-
"140060 São Luiz";-;-;-;-
"140070 Uiramutã";-;-;-;-
"140000 Município ignorado - RR";-;-;-;-
"150010 Abaetetuba";12;8;8;9
"150013 Abel Figueiredo";1;1;1;1
"150020 Acará";2;2;2;-
"150030 Afuá";-;-;-;-
"150034 Água Azul do Norte";2;2;2;-
"150040 Alenquer";-;-;-;6
"150050 Almeirim";3;3;-;7
"150060 Altamira";-;3;-;16
"150070 Anajás";-;-;-;5
"150080 Ananindeua";44;42;50;73
"150085 Anapu";4;1;1;5
"150090 Augusto Corrêa";-;-;-;4
"150095 Aurora do Pará";-;-;-;-
"150100 Aveiro";-;-;-;-
"150110 Bagre";-;-;-;1
"150120 Baião";-;-;-;6
"150125 Bannach";3;4;4;1
"150130 Barcarena";10;5;6;14
"150140 Belém";74;42;43;172
"150145 Belterra";-;-;-;-
"150150 Benevides";4;4;4;5
"150157 Bom Jesus do Tocantins";-;-;-;-
"150160 Bonito";-;-;-;-
"150170 Bragança";5;6;5;1
"150172 Brasil Novo";-;-;-;7
"150175 Brejo Grande do Araguaia";-;-;-;2
"150178 Breu Branco";-;-;-;1
"150180 Breves";2;-;-;12
"150190 Bujaru";-;-;-;-
"150200 Cachoeira do Arari";-;-;-;-
"150195 Cachoeira do Piriá";-;-;-;4
"150210 Cametá";3;3;2;3
"150215 Canaã dos Carajás";3;3;3;12
"150220 Capanema";10;6;5;4
"150230 Capitão Poço";2;4;4;-
"150240 Castanhal";20;11;16;27
"150250 Chaves";-;-;-;-
"150260 Colares";-;-;-;-
"150270 Conceição do Araguaia";-;4;4;4
"150275 Concórdia do Pará";-;-;-;-
"150276 Cumaru do Norte";-;-;-;-
"150277 Curionópolis";-;-;-;3
"150280 Curralinho";-;-;-;1
"150285 Curuá";-;-;-;-
"150290 Curuçá";-;-;-;-
"150293 Dom Eliseu";-;-;-;6
"150295 Eldorado do Carajás";-;-;-;4
"150300 Faro";-;-;-;-
"150304 Floresta do Araguaia";-;-;-;-
"150307 Garrafão do Norte";-;-;-;-
"150309 Goianésia do Pará";-;-;-;3
"150310 Gurupá";-;-;-;-
"150320 Igarapé-Açu";-;-;-;1
