"Município";"Unidade isolamento";"UTI adulto I";"UTI adulto II";"UTI adulto III";"Unidade de cuidados intermed adulto";"Total"
"110001 Alta Floresta D'Oeste";2;-;-;-;-;2
"110037 Alto Alegre dos Parecis";-;-;-;-;-;-
"110040 Alto Paraíso";-;-;-;-;-;-
"110034 Alvorada D'Oeste";-;-;-;-;-;-
"110002 Ariquemes";2;-;19;-;-;21
"110045 Buritis";1;-;-;-;-;1
"110003 Cabixi";-;-;-;-;-;-
"110060 Cacaulândia";-;-;-;-;-;-
"110004 Cacoal";-;10;18;-;-;28
"110070 Campo Novo de Rondônia";-;-;-;-;-;-
"110080 Candeias do Jamari";-;-;-;-;-;-
"110090 Castanheiras";-;-;-;-;-;-
"110005 Cerejeiras";2;-;-;-;-;2
"110092 Chupinguaia";-;-;-;-;-;-
"110006 Colorado do Oeste";-;-;-;-;-;-
"110007 Corumbiara";-;-;-;-;-;-
"110008 Costa Marques";-;-;-;-;-;-
"110094 Cujubim";-;-;-;-;-;-
"110009 Espigão D'Oeste";1;-;-;-;-;1
"110100 Governador Jorge Teixeira";-;-;-;-;-;-
"110010 Guajará-Mirim";-;-;-;-;-;-
"110110 Itapuã do Oeste";-;-;-;-;-;-
"110011 Jaru";-;-;-;-;-;-
"110012 Ji-Paraná";2;-;10;-;-;12
"110013 Machadinho D'Oeste";-;-;-;-;-;-
"110120 Ministro Andreazza";-;-;-;-;-;-
"110130 Mirante da Serra";-;-;-;-;-;-
"110140 Monte Negro";-;-;-;-;-;-
"110014 Nova Brasilândia D'Oeste";-;-;-;-;-;-
"110033 Nova Mamoré";-;-;-;-;-;-
"110143 Nova União";-;-;-;-;-;-
"110050 Novo Horizonte do Oeste";-;-;-;-;-;-
"110015 Ouro Preto do Oeste";2;-;-;-;-;2
"110145 Parecis";-;-;-;-;-;-
"110018 Pimenta Bueno";-;-;-;-;-;-
"110146 Pimenteiras do Oeste";-;-;-;-;-;-
"110020 Porto Velho";10;26;138;-;-;174
"110025 Presidente Médici";-;-;-;-;-;-
"110147 Primavera de Rondônia";-;-;-;-;-;-
"110026 Rio Crespo";-;-;-;-;-;-
"110028 Rolim de Moura";4;-;-;-;-;4
"110029 Santa Luzia D'Oeste";-;-;-;-;-;-
"110148 São Felipe D'Oeste";-;-;-;-;-;-
"110149 São Francisco do Guaporé";1;-;-;-;-;1
"110032 São Miguel do Guaporé";-;-;-;-;-;-
"110150 Seringueiras";-;-;-;-;-;-
"110155 Teixeirópolis";-;-;-;-;-;-
"110160 Theobroma";-;-;-;-;-;-
"110170 Urupá";-;-;-;-;-;-
"110175 Vale do Anari";-;-;-;-;-;-
"110180 Vale do Paraíso";-;-;-;-;-;-
"110030 Vilhena";3;-;10;-;-;13
"110000 Município ignorado - RO";-;-;-;-;-;-
"120001 Acrelândia";-;-;-;-;-;-
"120005 Assis Brasil";-;-;-;-;-;-
"120010 Brasiléia";8;-;-;-;5;13
"120013 Bujari";-;-;-;-;-;-
"120017 Capixaba";-;-;-;-;-;-
"120020 Cruzeiro do Sul";1;-;7;-;-;8
"120025 Epitaciolândia";-;-;-;-;-;-
"120030 Feijó";-;-;-;-;-;-
"120032 Jordão";-;-;-;-;-;-
"120033 Mâncio Lima";-;-;-;-;-;-
"120034 Manoel Urbano";-;-;-;-;-;-
"120035 Marechal Thaumaturgo";-;-;-;-;-;-
"120038 Plácido de Castro";2;-;-;-;-;2
"120080 Porto Acre";-;-;-;-;-;-
"120039 Porto Walter";-;-;-;-;-;-
"120040 Rio Branco";19;-;41;-;5;65
"120042 Rodrigues Alves";-;-;-;-;-;-
"120043 Santa Rosa do Purus";-;-;-;-;-;-
"120050 Sena Madureira";-;-;-;-;-;-
"120045 Senador Guiomard";1;-;-;-;-;1
"120060 Tarauacá";-;-;-;-;-;-
"120070 Xapuri";-;-;-;-;-;-
"120000 Município ignorado - AC";-;-;-;-;-;-
"130002 Alvarães";-;-;-;-;-;-
"130006 Amaturá";1;-;-;-;-;1
"130008 Anamã";-;-;-;-;-;-
"130010 Anori";-;-;-;-;-;-
"130014 Apuí";2;-;-;-;-;2
"130020 Atalaia do Norte";1;-;-;-;-;1
"130030 Autazes";2;-;-;-;-;2
"130040 Barcelos";-;-;-;-;-;-
"130050 Barreirinha";-;-;-;-;-;-
"130060 Benjamin Constant";4;-;-;-;-;4
"130063 Beruri";1;-;-;-;-;1
"130068 Boa Vista do Ramos";-;-;-;-;-;-
"130070 Boca do Acre";-;-;-;-;-;-
"130080 Borba";2;-;-;-;-;2
"130083 Caapiranga";1;-;-;-;1;2
"130090 Canutama";-;-;-;-;-;-
"130100 Carauari";-;-;-;-;-;-
"130110 Careiro";-;-;-;-;-;-
"130115 Careiro da Várzea";-;-;-;-;-;-
"130120 Coari";3;-;-;-;-;3
"130130 Codajás";-;-;-;-;-;-
"130140 Eirunepé";-;-;-;-;-;-
"130150 Envira";-;-;-;-;-;-
"130160 Fonte Boa";2;-;-;-;-;2
"130165 Guajará";1;-;-;-;-;1
"130170 Humaitá";2;-;-;-;-;2
"130180 Ipixuna";-;-;-;-;-;-
"130185 Iranduba";-;-;-;-;-;-
"130190 Itacoatiara";-;-;-;-;-;-
"130195 Itamarati";-;-;-;-;-;-
"130200 Itapiranga";-;-;-;-;2;2
"130210 Japurá";-;-;-;-;-;-
"130220 Juruá";-;-;-;-;-;-
"130230 Jutaí";2;-;-;-;-;2
"130240 Lábrea";2;-;-;-;1;3
"130250 Manacapuru";-;-;-;-;9;9
"130255 Manaquiri";-;-;-;-;-;-
"130260 Manaus";116;46;197;28;1;388
"130270 Manicoré";-;-;-;-;-;-
"130280 Maraã";1;-;-;-;-;1
"130290 Maués";-;-;-;-;-;-
"130300 Nhamundá";1;-;-;-;-;1
"130310 Nova Olinda do Norte";-;-;-;-;-;-
"130320 Novo Airão";-;-;-;-;-;-
"130330 Novo Aripuanã";-;-;-;-;-;-
"130340 Parintins";2;-;-;-;8;10
"130350 Pauini";1;-;-;-;-;1
"130353 Presidente Figueiredo";2;-;-;-;-;2
"130356 Rio Preto da Eva";2;-;-;-;-;2
"130360 Santa Isabel do Rio Negro";-;-;-;-;-;-
"130370 Santo Antônio do Içá";1;-;-;-;-;1
"130380 São Gabriel da Cachoeira";2;-;-;-;-;2
"130390 São Paulo de Olivença";-;-;-;-;-;-
"130395 São Sebastião do Uatumã";-;-;-;-;-;-
"130400 Silves";1;-;-;-;-;1
"130406 Tabatinga";3;-;-;-;2;5
"130410 Tapauá";-;-;-;-;-;-
"130420 Tefé";3;-;-;-;2;5
"130423 Tonantins";-;-;-;-;-;-
"130426 Uarini";1;-;-;-;-;1
"130430 Urucará";1;-;-;-;-;1
"130440 Urucurituba";-;-;-;-;-;-
"130000 Município ignorado - AM";-;-;-;-;-;-
"140005 Alto Alegre";1;-;-;-;-;1
"140002 Amajari";-;-;-;-;-;-
"140010 Boa Vista";18;5;20;-;-;43
"140015 Bonfim";1;-;-;-;-;1
"140017 Cantá";-;-;-;-;-;-
"140020 Caracaraí";-;-;-;-;-;-
"140023 Caroebe";-;-;-;-;-;-
"140028 Iracema";-;-;-;-;-;-
"140030 Mucajaí";1;-;-;-;-;1
"140040 Normandia";1;-;-;-;-;1
"140045 Pacaraima";1;-;-;-;-;1
"140047 Rorainópolis";1;-;-;-;-;1
"140050 São João da Baliza";1;-;-;-;-;1
"140060 São Luiz";1;-;-;-;-;1
"140070 Uiramutã";-;-;-;-;-;-
"140000 Município ignorado - RR";-;-;-;-;-;-
"150010 Abaetetuba";4;-;-;-;-;4
"150013 Abel Figueiredo";1;-;-;-;-;1
"150020 Acará";-;-;-;-;-;-
"150030 Afuá";-;-;-;-;-;-
"150034 Água Azul do Norte";-;-;-;-;-;-
"150040 Alenquer";3;-;-;-;3;6
