"Município";"Quantidade existente";"Quantidade SUS";"Quantidade Não SUS"
"110002 Ariquemes";19;7;12
"110004 Cacoal";28;18;10
"110012 Ji-Paraná";10;6;4
"110020 Porto Velho";164;118;46
"110030 Vilhena";10;10;-
"120020 Cruzeiro do Sul";7;-;7
"120040 Rio Branco";41;33;8
"130260 Manaus";271;177;94
"140010 Boa Vista";25;17;8
"150060 Altamira";10;10;-
"150080 Ananindeua";66;48;18
"150130 Barcarena";10;10;-
"150140 Belém";342;144;198
"150170 Bragança";10;10;-
"150180 Breves";7;7;-
"150220 Capanema";19;6;13
"150240 Castanhal";20;13;7
"150420 Marabá";20;20;-
"150442 Marituba";7;7;-
"150550 Paragominas";20;20;-
"150553 Parauapebas";20;10;10
"150613 Redenção";20;9;11
"150680 Santarém";27;27;-
"150810 Tucuruí";11;7;4
"160030 Macapá";40;12;28
"160060 Santana";6;-;6
"170210 Araguaína";29;29;-
"170950 Gurupi";21;18;3
"172100 Palmas";75;26;49
"210120 Bacabal";10;10;-
"210140 Balsas";10;10;-
"210300 Caxias";20;20;-
"210320 Chapadinha";10;10;-
"210360 Coroatá";10;10;-
"210530 Imperatriz";104;52;52
"210860 Pinheiro";10;10;-
"210910 Presidente Dutra";11;10;1
"210990 Santa Inês";10;10;-
"211120 São José de Ribamar";20;-;20
"211130 São Luís";357;161;196
"220390 Floriano";10;10;-
"220700 Oeiras";10;-;10
"220770 Parnaíba";43;17;26
"220800 Picos";5;-;5
"220840 Piripiri";10;10;-
"221100 Teresina";149;103;46
"230190 Barbalha";18;16;2
"230250 Brejo Santo";10;8;2
"230410 Crateús";12;2;10
"230420 Crato";35;31;4
"230440 Fortaleza";542;248;294
"230550 Iguatu";6;-;6
"230730 Juazeiro do Norte";56;50;6
"230765 Maracanaú";10;-;10
"231140 Quixeramobim";30;-;30
"231290 Sobral";83;75;8
"240200 Caicó";10;-;10
"240310 Currais Novos";10;-;10
"240800 Mossoró";105;56;49
"240810 Natal";286;139;147
"240325 Parnamirim";10;10;-
"240940 Pau dos Ferros";10;6;4
"250370 Cajazeiras";7;7;-
"250400 Campina Grande";126;91;35
"250630 Guarabira";6;6;-
"250750 João Pessoa";214;112;102
"250890 Mamanguape";10;10;-
"250920 Massaranduba";1;-;1
"251080 Patos";18;12;6
"251130 Piancó";20;10;10
"251210 Pombal";6;-;6
"251370 Santa Rita";30;28;2
"251620 Sousa";16;14;2
"260005 Abreu e Lima";32;-;32
"260120 Arcoverde";13;8;5
"260140 Barreiros";4;-;4
"260190 Bezerros";10;10;-
"260290 Cabo de Santo Agostinho";40;30;10
"260410 Caruaru";81;68;13
"260600 Garanhuns";26;21;5
"260790 Jaboatão dos Guararapes";55;40;15
"260890 Limoeiro";20;10;10
"260960 Olinda";25;25;-
"260990 Ouricuri";10;-;10
"261000 Palmares";30;20;10
"261070 Paulista";85;60;25
"261110 Petrolina";67;41;26
"261160 Recife";873;392;481
"261220 Salgueiro";11;10;1
"261370 São Lourenço da Mata";10;10;-
"261390 Serra Talhada";16;10;6
"270030 Arapiraca";90;53;37
"270230 Coruripe";10;10;-
"270430 Maceió";174;88;86
"270630 Palmeira dos Índios";8;8;-
"270800 Santana do Ipanema";10;10;-
"270860 São Miguel dos Campos";7;7;-
"280030 Aracaju";231;136;95
"280350 Lagarto";10;10;-
"290070 Alagoinhas";18;10;8
"290320 Barreiras";10;10;-
"290460 Brumado";10;10;-
"290570 Camaçari";18;8;10
"290650 Candeias";20;15;5
"290750 Catu";10;-;10
"291072 Eunápolis";19;10;9
"291080 Feira de Santana";56;30;26
"291170 Guanambi";10;10;-
"291360 Ilhéus";52;28;24
"291460 Irecê";16;10;6
"291480 Itabuna";29;19;10
"291640 Itapetinga";9;9;-
"291750 Jacobina";3;-;3
"291800 Jequié";36;32;4
"291840 Juazeiro";30;25;5
"291920 Lauro de Freitas";43;10;33
"292530 Porto Seguro";10;5;5
"292660 Ribeira do Pombal";7;7;-
"292740 Salvador";885;425;460
"292870 Santo Antônio de Jesus";42;30;12
"292900 São Félix";9;9;-
"292990 Seabra";10;-;10
"293135 Teixeira de Freitas";32;12;20
"293330 Vitória da Conquista";94;50;44
"310150 Além Paraíba";5;5;-
"310160 Alfenas";27;20;7
"310350 Araguari";18;10;8
"310400 Araxá";29;17;12
"310490 Baependi";10;10;-
