,date,sigla_state,city,place_type,confirmed,deaths,order_for_place,is_last,population,codigo_ibge,confirmed_per_100k_inhabitants,death_rate,latitude,longitude,codigo_uf,state
3,2020-04-02,PA,Abaetetuba,city,1.0,0.0,3.0,True,157698.0,1500107,0.63412,0.0,-1.72183,-48.8788,15.0,Pará
4,2020-04-01,PA,Abaetetuba,city,1.0,0.0,2.0,False,157698.0,1500107,0.63412,0.0,-1.72183,-48.8788,15.0,Pará
5,2020-03-31,PA,Abaetetuba,city,1.0,0.0,1.0,False,157698.0,1500107,0.63412,0.0,-1.72183,-48.8788,15.0,Pará
27,2020-04-02,AC,Acrelândia,city,8.0,0.0,5.0,True,15256.0,1200013,52.43838,0.0,-9.82581,-66.8972,12.0,Acre
28,2020-04-01,AC,Acrelândia,city,8.0,0.0,4.0,False,15256.0,1200013,52.43838,0.0,-9.82581,-66.8972,12.0,Acre
29,2020-03-31,AC,Acrelândia,city,7.0,0.0,3.0,False,15256.0,1200013,45.883590000000005,0.0,-9.82581,-66.8972,12.0,Acre
30,2020-03-30,AC,Acrelândia,city,6.0,0.0,2.0,False,15256.0,1200013,39.328790000000005,0.0,-9.82581,-66.8972,12.0,Acre
31,2020-03-29,AC,Acrelândia,city,2.0,0.0,1.0,False,15256.0,1200013,13.1096,0.0,-9.82581,-66.8972,12.0,Acre
40,2020-04-01,ES,Afonso Cláudio,city,1.0,0.0,1.0,True,30586.0,3200102,3.26947,0.0,-20.0778,-41.1261,32.0,Espírito Santo
66,2020-04-02,BA,Alagoinhas,city,3.0,0.0,8.0,True,151596.0,2900702,1.9789400000000001,0.0,-12.1335,-38.4208,29.0,Bahia
67,2020-04-01,BA,Alagoinhas,city,3.0,0.0,7.0,False,151596.0,2900702,1.9789400000000001,0.0,-12.1335,-38.4208,29.0,Bahia
68,2020-03-31,BA,Alagoinhas,city,3.0,0.0,6.0,False,151596.0,2900702,1.9789400000000001,0.0,-12.1335,-38.4208,29.0,Bahia
69,2020-03-30,BA,Alagoinhas,city,1.0,0.0,5.0,False,151596.0,2900702,0.65965,0.0,-12.1335,-38.4208,29.0,Bahia
70,2020-03-29,BA,Alagoinhas,city,1.0,0.0,4.0,False,151596.0,2900702,0.65965,0.0,-12.1335,-38.4208,29.0,Bahia
71,2020-03-28,BA,Alagoinhas,city,1.0,0.0,3.0,False,151596.0,2900702,0.65965,0.0,-12.1335,-38.4208,29.0,Bahia
72,2020-03-27,BA,Alagoinhas,city,1.0,0.0,2.0,False,151596.0,2900702,0.65965,0.0,-12.1335,-38.4208,29.0,Bahia
73,2020-03-26,BA,Alagoinhas,city,1.0,0.0,1.0,False,151596.0,2900702,0.65965,0.0,-12.1335,-38.4208,29.0,Bahia
77,2020-04-02,MS,Alcinópolis,city,1.0,0.0,3.0,True,5343.0,5000252,18.716079999999998,0.0,-18.3255,-53.7042,50.0,Mato Grosso do Sul
78,2020-04-01,MS,Alcinópolis,city,1.0,0.0,2.0,False,5343.0,5000252,18.716079999999998,0.0,-18.3255,-53.7042,50.0,Mato Grosso do Sul
79,2020-03-31,MS,Alcinópolis,city,1.0,0.0,1.0,False,5343.0,5000252,18.716079999999998,0.0,-18.3255,-53.7042,50.0,Mato Grosso do Sul
86,2020-04-02,RS,Alegrete,city,1.0,0.0,2.0,True,73589.0,4300406,1.3589,0.0,-29.7902,-55.7949,43.0,Rio Grande do Sul
87,2020-04-01,RS,Alegrete,city,1.0,0.0,1.0,False,73589.0,4300406,1.3589,0.0,-29.7902,-55.7949,43.0,Rio Grande do Sul
93,2020-04-02,MG,Alfenas,city,1.0,0.0,3.0,True,79996.0,3101607,1.25006,0.0,-21.4256,-45.9477,31.0,Minas Gerais
94,2020-04-01,MG,Alfenas,city,1.0,0.0,2.0,False,79996.0,3101607,1.25006,0.0,-21.4256,-45.9477,31.0,Minas Gerais
95,2020-03-31,MG,Alfenas,city,1.0,0.0,1.0,False,79996.0,3101607,1.25006,0.0,-21.4256,-45.9477,31.0,Minas Gerais
102,2020-04-02,PE,Aliança,city,1.0,0.0,2.0,True,38386.0,2600708,2.60512,0.0,-7.60398,-35.2227,26.0,Pernambuco
103,2020-04-01,PE,Aliança,city,1.0,0.0,1.0,False,38386.0,2600708,2.60512,0.0,-7.60398,-35.2227,26.0,Pernambuco
110,2020-04-02,PR,Almirante Tamandaré,city,3.0,0.0,4.0,True,118623.0,4100400,2.52902,0.0,-25.3188,-49.3037,41.0,Paraná
111,2020-04-01,PR,Almirante Tamandaré,city,3.0,0.0,3.0,False,118623.0,4100400,2.52902,0.0,-25.3188,-49.3037,41.0,Paraná
112,2020-03-31,PR,Almirante Tamandaré,city,2.0,0.0,2.0,False,118623.0,4100400,1.6860099999999998,0.0,-25.3188,-49.3037,41.0,Paraná
113,2020-03-30,PR,Almirante Tamandaré,city,2.0,0.0,1.0,False,118623.0,4100400,1.6860099999999998,0.0,-25.3188,-49.3037,41.0,Paraná
152,2020-04-01,ES,Alto Rio Novo,city,0.0,0.0,2.0,True,7836.0,3200359,0.0,0.0,-19.0618,-41.0209,32.0,Espírito Santo
153,2020-03-31,ES,Alto Rio Novo,city,1.0,0.0,1.0,False,7836.0,3200359,12.761610000000001,0.0,-19.0618,-41.0209,32.0,Espírito Santo
165,2020-04-02,RS,Alvorada,city,3.0,0.0,15.0,True,210305.0,4300604,1.4265,0.0,-29.9914,-51.0809,43.0,Rio Grande do Sul
166,2020-04-01,RS,Alvorada,city,2.0,0.0,14.0,False,210305.0,4300604,0.951,0.0,-29.9914,-51.0809,43.0,Rio Grande do Sul
167,2020-03-31,RS,Alvorada,city,2.0,0.0,13.0,False,210305.0,4300604,0.951,0.0,-29.9914,-51.0809,43.0,Rio Grande do Sul
168,2020-03-30,RS,Alvorada,city,2.0,0.0,12.0,False,210305.0,4300604,0.951,0.0,-29.9914,-51.0809,43.0,Rio Grande do Sul
169,2020-03-29,RS,Alvorada,city,2.0,0.0,11.0,False,210305.0,4300604,0.951,0.0,-29.9914,-51.0809,43.0,Rio Grande do Sul
170,2020-03-28,RS,Alvorada,city,2.0,0.0,10.0,False,210305.0,4300604,0.951,0.0,-29.9914,-51.0809,43.0,Rio Grande do Sul
171,2020-03-27,RS,Alvorada,city,2.0,0.0,9.0,False,210305.0,4300604,0.951,0.0,-29.9914,-51.0809,43.0,Rio Grande do Sul
172,2020-03-26,RS,Alvorada,city,2.0,0.0,8.0,False,210305.0,4300604,0.951,0.0,-29.9914,-51.0809,43.0,Rio Grande do Sul
173,2020-03-25,RS,Alvorada,city,2.0,0.0,7.0,False,210305.0,4300604,0.951,0.0,-29.9914,-51.0809,43.0,Rio Grande do Sul
174,2020-03-24,RS,Alvorada,city,2.0,0.0,6.0,False,210305.0,4300604,0.951,0.0,-29.9914,-51.0809,43.0,Rio Grande do Sul
175,2020-03-23,RS,Alvorada,city,2.0,0.0,5.0,False,210305.0,4300604,0.951,0.0,-29.9914,-51.0809,43.0,Rio Grande do Sul
176,2020-03-22,RS,Alvorada,city,2.0,0.0,4.0,False,210305.0,4300604,0.951,0.0,-29.9914,-51.0809,43.0,Rio Grande do Sul
177,2020-03-21,RS,Alvorada,city,2.0,0.0,3.0,False,210305.0,4300604,0.951,0.0,-29.9914,-51.0809,43.0,Rio Grande do Sul
178,2020-03-20,RS,Alvorada,city,1.0,0.0,2.0,False,210305.0,4300604,0.4755,0.0,-29.9914,-51.0809,43.0,Rio Grande do Sul
179,2020-03-19,RS,Alvorada,city,1.0,0.0,1.0,False,210305.0,4300604,0.4755,0.0,-29.9914,-51.0809,43.0,Rio Grande do Sul
198,2020-04-01,SP,Americana,city,2.0,0.0,2.0,True,239597.0,3501608,0.83473,0.0,-22.7374,-47.3331,35.0,São Paulo
199,2020-03-31,SP,Americana,city,2.0,0.0,1.0,False,239597.0,3501608,0.83473,0.0,-22.7374,-47.3331,35.0,São Paulo
220,2020-04-02,PA,Ananindeua,city,8.0,0.0,9.0,True,530598.0,1500800,1.50773,0.0,-1.36391,-48.3743,15.0,Pará
221,2020-04-01,PA,Ananindeua,city,7.0,0.0,8.0,False,530598.0,1500800,1.3192700000000002,0.0,-1.36391,-48.3743,15.0,Pará
222,2020-03-31,PA,Ananindeua,city,6.0,0.0,7.0,False,530598.0,1500800,1.1308,0.0,-1.36391,-48.3743,15.0,Pará
223,2020-03-30,PA,Ananindeua,city,5.0,0.0,6.0,False,530598.0,1500800,0.9423299999999999,0.0,-1.36391,-48.3743,15.0,Pará
224,2020-03-29,PA,Ananindeua,city,4.0,0.0,5.0,False,530598.0,1500800,0.7538699999999999,0.0,-1.36391,-48.3743,15.0,Pará
225,2020-03-28,PA,Ananindeua,city,4.0,0.0,4.0,False,530598.0,1500800,0.7538699999999999,0.0,-1.36391,-48.3743,15.0,Pará
226,2020-03-27,PA,Ananindeua,city,4.0,0.0,3.0,False,530598.0,1500800,0.7538699999999999,0.0,-1.36391,-48.3743,15.0,Pará
227,2020-03-26,PA,Ananindeua,city,4.0,0.0,2.0,False,530598.0,1500800,0.7538699999999999,0.0,-1.36391,-48.3743,15.0,Pará
228,2020-03-25,PA,Ananindeua,city,2.0,0.0,1.0,False,530598.0,1500800,0.37693000000000004,0.0,-1.36391,-48.3743,15.0,Pará
251,2020-04-01,RJ,Angra dos Reis,city,1.0,0.0,3.0,True,203785.0,3300100,0.49071000000000004,0.0,-23.0011,-44.3196,33.0,Rio de Janeiro
252,2020-03-31,RJ,Angra dos Reis,city,1.0,0.0,2.0,False,203785.0,3300100,0.49071000000000004,0.0,-23.0011,-44.3196,33.0,Rio de Janeiro
253,2020-03-30,RJ,Angra dos Reis,city,1.0,0.0,1.0,False,203785.0,3300100,0.49071000000000004,0.0,-23.0011,-44.3196,33.0,Rio de Janeiro
262,2020-04-02,AM,Anori,city,1.0,0.0,5.0,True,21010.0,1300102,4.75964,0.0,-3.74603,-61.6575,13.0,Amazonas
263,2020-04-01,AM,Anori,city,1.0,0.0,4.0,False,21010.0,1300102,4.75964,0.0,-3.74603,-61.6575,13.0,Amazonas
264,2020-03-31,AM,Anori,city,1.0,0.0,3.0,False,21010.0,1300102,4.75964,0.0,-3.74603,-61.6575,13.0,Amazonas
265,2020-03-30,AM,Anori,city,1.0,0.0,2.0,False,21010.0,1300102,4.75964,0.0,-3.74603,-61.6575,13.0,Amazonas
266,2020-03-29,AM,Anori,city,1.0,0.0,1.0,False,21010.0,1300102,4.75964,0.0,-3.74603,-61.6575,13.0,Amazonas
267,2020-04-02,RS,Anta Gorda,city,2.0,0.0,10.0,True,5981.0,4300703,33.43922,0.0,-28.9698,-52.0102,43.0,Rio Grande do Sul
268,2020-04-01,RS,Anta Gorda,city,2.0,0.0,9.0,False,5981.0,4300703,33.43922,0.0,-28.9698,-52.0102,43.0,Rio Grande do Sul
269,2020-03-31,RS,Anta Gorda,city,2.0,0.0,8.0,False,5981.0,4300703,33.43922,0.0,-28.9698,-52.0102,43.0,Rio Grande do Sul
270,2020-03-30,RS,Anta Gorda,city,2.0,0.0,7.0,False,5981.0,4300703,33.43922,0.0,-28.9698,-52.0102,43.0,Rio Grande do Sul
271,2020-03-29,RS,Anta Gorda,city,2.0,0.0,6.0,False,5981.0,4300703,33.43922,0.0,-28.9698,-52.0102,43.0,Rio Grande do Sul
272,2020-03-28,RS,Anta Gorda,city,2.0,0.0,5.0,False,5981.0,4300703,33.43922,0.0,-28.9698,-52.0102,43.0,Rio Grande do Sul
273,2020-03-27,RS,Anta Gorda,city,2.0,0.0,4.0,False,5981.0,4300703,33.43922,0.0,-28.9698,-52.0102,43.0,Rio Grande do Sul
274,2020-03-26,RS,Anta Gorda,city,2.0,0.0,3.0,False,5981.0,4300703,33.43922,0.0,-28.9698,-52.0102,43.0,Rio Grande do Sul
