,date,sigla_state,city,place_type,confirmed,deaths,order_for_place,is_last,population,codigo_ibge,confirmed_per_100k_inhabitants,death_rate,latitude,longitude,codigo_uf,state
3,2020-04-02,PA,Abaetetuba,city,1.0,0.0,3.0,True,157698.0,1500107,0.63412,0.0,-1.72183,-48.8788,15.0,Pará
27,2020-04-02,AC,Acrelândia,city,8.0,0.0,5.0,True,15256.0,1200013,52.43838,0.0,-9.82581,-66.8972,12.0,Acre
40,2020-04-01,ES,Afonso Cláudio,city,1.0,0.0,1.0,True,30586.0,3200102,3.26947,0.0,-20.0778,-41.1261,32.0,Espírito Santo
66,2020-04-02,BA,Alagoinhas,city,3.0,0.0,8.0,True,151596.0,2900702,1.9789400000000001,0.0,-12.1335,-38.4208,29.0,Bahia
77,2020-04-02,MS,Alcinópolis,city,1.0,0.0,3.0,True,5343.0,5000252,18.716079999999998,0.0,-18.3255,-53.7042,50.0,Mato Grosso do Sul
86,2020-04-02,RS,Alegrete,city,1.0,0.0,2.0,True,73589.0,4300406,1.3589,0.0,-29.7902,-55.7949,43.0,Rio Grande do Sul
93,2020-04-02,MG,Alfenas,city,1.0,0.0,3.0,True,79996.0,3101607,1.25006,0.0,-21.4256,-45.9477,31.0,Minas Gerais
102,2020-04-02,PE,Aliança,city,1.0,0.0,2.0,True,38386.0,2600708,2.60512,0.0,-7.60398,-35.2227,26.0,Pernambuco
110,2020-04-02,PR,Almirante Tamandaré,city,3.0,0.0,4.0,True,118623.0,4100400,2.52902,0.0,-25.3188,-49.3037,41.0,Paraná
152,2020-04-01,ES,Alto Rio Novo,city,0.0,0.0,2.0,True,7836.0,3200359,0.0,0.0,-19.0618,-41.0209,32.0,Espírito Santo
165,2020-04-02,RS,Alvorada,city,3.0,0.0,15.0,True,210305.0,4300604,1.4265,0.0,-29.9914,-51.0809,43.0,Rio Grande do Sul
198,2020-04-01,SP,Americana,city,2.0,0.0,2.0,True,239597.0,3501608,0.83473,0.0,-22.7374,-47.3331,35.0,São Paulo
220,2020-04-02,PA,Ananindeua,city,8.0,0.0,9.0,True,530598.0,1500800,1.50773,0.0,-1.36391,-48.3743,15.0,Pará
251,2020-04-01,RJ,Angra dos Reis,city,1.0,0.0,3.0,True,203785.0,3300100,0.49071000000000004,0.0,-23.0011,-44.3196,33.0,Rio de Janeiro
262,2020-04-02,AM,Anori,city,1.0,0.0,5.0,True,21010.0,1300102,4.75964,0.0,-3.74603,-61.6575,13.0,Amazonas
267,2020-04-02,RS,Anta Gorda,city,2.0,0.0,10.0,True,5981.0,4300703,33.43922,0.0,-28.9698,-52.0102,43.0,Rio Grande do Sul
283,2020-04-02,SC,Antônio Carlos,city,8.0,1.0,7.0,True,8513.0,4201208,93.97391999999999,0.125,-27.5191,-48.76600000000001,42.0,Santa Catarina
297,2020-04-02,GO,Anápolis,city,4.0,0.0,17.0,True,386923.0,5201108,1.0338,0.0,-16.3281,-48.953,52.0,Goiás
318,2020-04-02,GO,Aparecida de Goiânia,city,2.0,0.0,15.0,True,578179.0,5201405,0.34591,0.0,-16.8198,-49.2469,52.0,Goiás
342,2020-04-01,RN,Apodi,city,1.0,0.0,3.0,True,35845.0,2401008,2.78979,0.0,-5.6534900000000015,-37.7946,24.0,Rio Grande do Norte
353,2020-04-01,CE,Aquiraz,city,14.0,0.0,16.0,True,80271.0,2301000,17.440920000000002,0.0,-3.89929,-38.3896,23.0,Ceará
370,2020-04-02,SE,Aracaju,city,20.0,2.0,12.0,True,657013.0,2800308,3.04408,0.1,-10.9091,-37.0677,28.0,Sergipe
387,2020-04-01,ES,Aracruz,city,1.0,0.0,1.0,True,101220.0,3200607,0.98795,0.0,-19.82,-40.2764,32.0,Espírito Santo
397,2020-04-02,MG,Araguari,city,1.0,0.0,2.0,True,117267.0,3103504,0.85275,0.0,-18.6456,-48.1934,31.0,Minas Gerais
401,2020-04-02,TO,Araguaína,city,3.0,0.0,7.0,True,180470.0,1702109,1.6623299999999999,0.0,-7.19238,-48.2044,17.0,Tocantins
420,2020-04-02,PR,Arapongas,city,2.0,0.0,2.0,True,123027.0,4101507,1.62566,0.0,-23.4153,-51.4259,41.0,Paraná
444,2020-04-02,PR,Araucária,city,1.0,0.0,2.0,True,143843.0,4101804,0.6952,0.0,-25.5859,-49.4047,41.0,Paraná
450,2020-04-01,SP,Araçatuba,city,2.0,0.0,2.0,True,197016.0,3502804,1.01515,0.0,-21.2076,-50.4401,35.0,São Paulo
460,2020-04-02,MG,Arcos,city,1.0,0.0,1.0,True,40092.0,3104205,2.4942599999999997,0.0,-20.2863,-45.5373,31.0,Minas Gerais
488,2020-04-01,RJ,Arraial do Cabo,city,1.0,1.0,1.0,True,30349.0,3300258,3.295,1.0,-22.9774,-42.0267,33.0,Rio de Janeiro
499,2020-04-01,SP,Arujá,city,2.0,0.0,5.0,True,89824.0,3503901,2.22658,0.0,-23.3965,-46.32,35.0,São Paulo
513,2020-04-02,PR,Assis Chateaubriand,city,1.0,0.0,2.0,True,33362.0,4102000,2.99742,0.0,-24.4168,-53.5213,41.0,Paraná
545,2020-04-02,MA,Açailândia,city,1.0,0.0,2.0,True,112445.0,2100055,0.8893200000000001,0.0,-4.94714,-47.5004,21.0,Maranhão
547,2020-04-01,RN,Açu,city,1.0,0.0,4.0,True,58017.0,2400208,1.72363,0.0,-5.58362,-36.914,24.0,Rio Grande do Norte
560,2020-04-02,RS,Bagé,city,16.0,0.0,15.0,True,121143.0,4301602,13.207529999999998,0.0,-31.3297,-54.0999,43.0,Rio Grande do Sul
584,2020-04-02,SC,Balneário Arroio do Silva,city,1.0,0.0,9.0,True,13071.0,4201950,7.650519999999999,0.0,-28.9806,-49.4237,42.0,Santa Catarina
594,2020-04-02,SC,Balneário Camboriú,city,10.0,0.0,16.0,True,142295.0,4202008,7.02765,0.0,-26.9926,-48.6352,42.0,Santa Catarina
630,2020-04-02,MG,Barbacena,city,1.0,0.0,1.0,True,137313.0,3105608,0.72826,0.0,-21.2214,-43.7703,31.0,Minas Gerais
634,2020-04-02,PA,Barcarena,city,1.0,0.0,2.0,True,124680.0,1501303,0.80205,0.0,-1.51187,-48.6195,15.0,Pará
639,2020-04-02,BA,Barra,city,1.0,0.0,3.0,True,53578.0,2902708,1.86644,0.0,-11.0859,-43.1459,29.0,Bahia
647,2020-04-01,RJ,Barra Mansa,city,2.0,0.0,20.0,True,184412.0,3300407,1.08453,0.0,-22.5481,-44.1752,33.0,Rio de Janeiro
689,2020-04-02,BA,Barra do Rocha,city,1.0,0.0,2.0,True,5714.0,2903102,17.50088,0.0,-14.2,-39.5991,29.0,Bahia
697,2020-04-02,BA,Barreiras,city,1.0,0.0,12.0,True,155439.0,2903201,0.6433399999999999,0.0,-12.1439,-44.9968,29.0,Bahia
725,2020-04-01,SP,Barueri,city,21.0,0.0,9.0,True,274182.0,3505708,7.65915,0.0,-23.5057,-46.879,35.0,São Paulo
747,2020-04-02,MS,Batayporã,city,4.0,1.0,7.0,True,11329.0,5002001,35.30762,0.25,-22.2944,-53.2705,50.0,Mato Grosso do Sul
755,2020-04-01,SP,Bauru,city,2.0,0.0,2.0,True,376818.0,3506003,0.53076,0.0,-22.3246,-49.0871,35.0,São Paulo
761,2020-04-01,CE,Beberibe,city,1.0,0.0,3.0,True,53573.0,2302206,1.8666099999999999,0.0,-4.17741,-38.1271,23.0,Ceará
773,2020-04-01,RJ,Belford Roxo,city,3.0,0.0,7.0,True,510906.0,3300456,0.58719,0.0,-22.764,-43.3992,33.0,Rio de Janeiro
781,2020-04-02,BA,Belmonte,city,1.0,0.0,1.0,True,23328.0,2903409,4.28669,0.0,-15.8608,-38.8758,29.0,Bahia
784,2020-04-02,MG,Belo Horizonte,city,210.0,3.0,17.0,True,2512070.0,3106200,8.359639999999999,0.0143,-19.9102,-43.9266,31.0,Minas Gerais
801,2020-04-02,PE,Belo Jardim,city,1.0,0.0,15.0,True,76439.0,2601706,1.30823,0.0,-8.3313,-36.4258,26.0,Pernambuco
821,2020-04-02,PA,Belém,city,25.0,0.0,16.0,True,1492745.0,1501402,1.67477,0.0,-1.4554,-48.4898,15.0,Pará
850,2020-04-02,RS,Bento Gonçalves,city,4.0,0.0,14.0,True,120454.0,4302105,3.3207699999999996,0.0,-29.1662,-51.5165,43.0,Rio Grande do Sul
876,2020-04-02,MG,Betim,city,5.0,0.0,11.0,True,439340.0,3106705,1.1380700000000001,0.0,-19.9668,-44.2008,31.0,Minas Gerais
892,2020-04-02,SC,Biguaçu,city,1.0,0.0,1.0,True,68481.0,4202305,1.4602600000000001,0.0,-27.496,-48.6598,42.0,Santa Catarina
898,2020-04-02,SC,Blumenau,city,22.0,0.0,12.0,True,357199.0,4202404,6.1590300000000004,0.0,-26.9155,-49.0709,42.0,Santa Catarina
910,2020-04-02,MG,Boa Esperança,city,1.0,0.0,8.0,True,40127.0,3107109,2.49209,0.0,-21.0927,-45.5612,31.0,Minas Gerais
927,2020-04-02,RR,Boa Vista,city,24.0,0.0,13.0,True,399213.0,1400100,6.011830000000001,0.0,2.82384,-60.6753,14.0,Roraima
951,2020-04-02,AM,Boca do Acre,city,1.0,0.0,8.0,True,34308.0,1300706,2.91477,0.0,-8.74232,-67.3919,13.0,Amazonas
971,2020-04-02,MG,Bom Despacho,city,1.0,0.0,11.0,True,50605.0,3107406,1.9760900000000001,0.0,-19.7386,-45.2622,31.0,Minas Gerais
1021,2020-04-02,RR,Bonfim,city,3.0,0.0,10.0,True,12409.0,1400159,24.176,0.0,3.36161,-59.8333,14.0,Roraima
1076,2020-04-02,DF,Brasília,city,400.0,5.0,26.0,True,3015268.0,5300108,13.265820000000001,0.0125,-15.7795,-47.9297,53.0,Distrito Federal
1105,2020-04-02,SC,Braço do Norte,city,12.0,0.0,19.0,True,33450.0,4202800,35.87444,0.0,-28.2681,-49.1701,42.0,Santa Catarina
1148,2020-04-01,SP,Brodowski,city,1.0,0.0,3.0,True,24939.0,3507803,4.00978,0.0,-20.9845,-47.6572,35.0,São Paulo
1154,2020-04-02,BA,Brumado,city,5.0,0.0,11.0,True,67195.0,2904605,7.4410300000000005,0.0,-14.2021,-41.6696,29.0,Bahia
1166,2020-04-02,SC,Brusque,city,3.0,0.0,6.0,True,134723.0,4202909,2.2267900000000003,0.0,-27.0977,-48.9107,42.0,Santa Catarina
1209,2020-04-02,PB,Cabedelo,city,1.0,0.0,2.0,True,67736.0,2503209,1.47632,0.0,-6.987310000000001,-34.8284,25.0,Paraíba
1225,2020-04-01,SP,Cachoeira Paulista,city,1.0,0.0,2.0,True,33327.0,3508603,3.00057,0.0,-22.6665,-45.0154,35.0,São Paulo
1233,2020-04-02,RS,Cachoeira do Sul,city,1.0,0.0,7.0,True,82201.0,4303004,1.21653,0.0,-30.033,-52.8928,43.0,Rio Grande do Sul
1244,2020-04-02,RS,Cachoeirinha,city,2.0,0.0,3.0,True,130293.0,4303103,1.535,0.0,-29.9472,-51.1016,43.0,Rio Grande do Sul
1247,2020-04-01,ES,Cachoeiro de Itapemirim,city,1.0,0.0,13.0,True,208972.0,3201209,0.47853,0.0,-20.8462,-41.1198,32.0,Espírito Santo
1283,2020-04-01,RN,Caicó,city,0.0,0.0,4.0,True,67952.0,2402006,0.0,0.0,-6.45441,-37.1067,24.0,Rio Grande do Norte
1287,2020-04-01,SP,Caieiras,city,11.0,1.0,6.0,True,101470.0,3509007,10.840639999999999,0.0909,-23.3607,-46.7397,35.0,São Paulo
1299,2020-04-01,SP,Cajamar,city,1.0,0.0,3.0,True,76801.0,3509205,1.30207,0.0,-23.355,-46.8781,35.0,São Paulo
1315,2020-04-02,GO,Caldas Novas,city,0.0,0.0,2.0,True,91162.0,5204508,0.0,0.0,-17.7441,-48.6246,52.0,Goiás
1331,2020-03-30,RS,Camaquã,city,0.0,0.0,7.0,True,66261.0,4303509,0.0,0.0,-30.8489,-51.8043,43.0,Rio Grande do Sul
1338,2020-04-02,PE,Camaragibe,city,2.0,0.0,7.0,True,157828.0,2603454,1.2672,0.0,-8.02351,-34.9782,26.0,Pernambuco
1346,2020-04-02,BA,Camaçari,city,4.0,0.0,14.0,True,299132.0,2905701,1.3372,0.0,-12.6996,-38.3263,29.0,Bahia
1363,2020-04-02,SC,Camboriú,city,7.0,0.0,9.0,True,82989.0,4203204,8.43485,0.0,-27.0241,-48.6503,42.0,Santa Catarina
1375,2020-04-02,PR,Cambé,city,1.0,0.0,2.0,True,106533.0,4103701,0.93868,0.0,-23.2766,-51.2798,41.0,Paraná
1385,2020-04-02,GO,Campestre de Goiás,city,1.0,0.0,2.0,True,3630.0,5204607,27.548209999999997,0.0,-16.7624,-49.695,52.0,Goiás
1388,2020-04-02,PB,Campina Grande,city,2.0,0.0,7.0,True,409731.0,2504009,0.48813,0.0,-7.22196,-35.8731,25.0,Paraíba
1401,2020-04-01,SP,Campinas,city,22.0,1.0,9.0,True,1204073.0,3509502,1.82713,0.0455,-22.9053,-47.0659,35.0,São Paulo
1421,2020-04-02,MG,Campo Belo,city,1.0,0.0,7.0,True,54029.0,3111200,1.85086,0.0,-20.8932,-45.2699,31.0,Minas Gerais
1429,2020-04-02,RS,Campo Bom,city,2.0,0.0,21.0,True,66712.0,4303905,2.99796,0.0,-29.6747,-51.0606,43.0,Rio Grande do Sul
1455,2020-04-02,MS,Campo Grande,city,38.0,0.0,20.0,True,895982.0,5002704,4.24116,0.0,-20.4486,-54.6295,50.0,Mato Grosso do Sul
