,city,quantidade,codigo_ibge,latitude,longitude,codigo_uf,state
0,Abadia de Goiás,0,520005,-16.7573,-49.4412,52.0,Goiás
1,Abadia dos Dourados,17,310010,-18.4831,-47.3916,31.0,Minas Gerais
2,Abadiânia,9,520010,-16.197,-48.7057,52.0,Goiás
3,Abaetetuba,224,150010,-1.72183,-48.8788,15.0,Pará
4,Abaeté,46,310020,-19.1551,-45.4444,31.0,Minas Gerais
5,Abaiara,1,230010,-7.34588,-39.0416,23.0,Ceará
6,Abaré,24,290020,-8.72073,-39.1162,29.0,Bahia
7,Abatiá,22,410010,-23.3049,-50.3133,41.0,Paraná
8,Abaíra,9,290010,-13.2488,-41.6619,29.0,Bahia
9,Abdon Batista,0,420005,-27.6126,-51.0233,42.0,Santa Catarina
10,Abel Figueiredo,21,150013,-4.95333,-48.3933,15.0,Pará
11,Abelardo Luz,42,420010,-26.5716,-52.3229,42.0,Santa Catarina
12,Abre Campo,66,310030,-20.2996,-42.4743,31.0,Minas Gerais
13,Abreu e Lima,294,260005,-7.90072,-34.8984,26.0,Pernambuco
14,Abreulândia,0,170025,-9.62101,-49.1518,17.0,Tocantins
15,Acaiaca,0,310040,-20.359,-43.1439,31.0,Minas Gerais
16,Acajutiba,8,290030,-11.6575,-38.0197,29.0,Bahia
17,Acarape,0,230015,-4.22083,-38.7055,23.0,Ceará
18,Acaraú,73,230020,-2.88769,-40.1183,23.0,Ceará
19,Acari,40,240010,-6.4282,-36.6347,24.0,Rio Grande do Norte
20,Acará,33,150020,-1.95383,-48.1985,15.0,Pará
21,Acauã,0,220005,-8.21954,-41.0831,22.0,Piauí
22,Aceguá,42,430003,-31.8665,-54.1615,43.0,Rio Grande do Sul
23,Acopiara,98,230030,-6.08911,-39.448,23.0,Ceará
24,Acorizal,0,510010,-15.194,-56.3632,51.0,Mato Grosso
25,Acrelândia,16,120001,-9.82581,-66.8972,12.0,Acre
26,Acreúna,72,520013,-17.396,-50.3749,52.0,Goiás
27,Adamantina,235,350010,-21.682,-51.0737,35.0,São Paulo
28,Adelândia,0,520015,-16.4127,-50.1657,52.0,Goiás
29,Adolfo,0,350020,-21.2325,-49.6451,35.0,São Paulo
30,Adrianópolis,3,410020,-24.6606,-48.9922,41.0,Paraná
31,Adustina,19,290035,-10.5437,-38.1113,29.0,Bahia
32,Afogados da Ingazeira,181,260010,-7.7431199999999984,-37.631,26.0,Pernambuco
33,Afonso Bezerra,0,240030,-5.4922900000000014,-36.5075,24.0,Rio Grande do Norte
34,Afonso Cláudio,58,320010,-20.0778,-41.1261,32.0,Espírito Santo
35,Afonso Cunha,20,210010,-4.13631,-43.3275,21.0,Maranhão
36,Afrânio,45,260020,-8.51136,-41.0095,26.0,Pernambuco
37,Afuá,30,150030,-0.154874,-50.3861,15.0,Pará
38,Agrestina,123,260030,-8.459660000000001,-35.9447,26.0,Pernambuco
39,Agricolândia,15,220010,-5.79676,-42.6664,22.0,Piauí
40,Agrolândia,0,420020,-27.4087,-49.822,42.0,Santa Catarina
41,Agronômica,0,420030,-27.2662,-49.708,42.0,Santa Catarina
42,Aguanil,0,310080,-20.9439,-45.3915,31.0,Minas Gerais
43,Aguaí,0,350030,-22.0572,-46.9735,35.0,São Paulo
44,Agudo,51,430010,-29.6447,-53.2515,43.0,Rio Grande do Sul
45,Agudos,60,350070,-22.4694,-48.9863,35.0,São Paulo
46,Agudos do Sul,8,410030,-25.9899,-49.3343,41.0,Paraná
47,Aguiar,12,250020,-7.0918,-38.1681,25.0,Paraíba
48,Aguiarnópolis,0,170030,-6.55409,-47.4702,17.0,Tocantins
49,Aimorés,53,310110,-19.5007,-41.0746,31.0,Minas Gerais
50,Aiquara,13,290060,-14.1269,-39.8937,29.0,Bahia
51,Aiuaba,29,230040,-6.5712199999999985,-40.1178,23.0,Ceará
52,Aiuruoca,30,310120,-21.9736,-44.6042,31.0,Minas Gerais
53,Ajuricaba,49,430020,-28.2342,-53.7757,43.0,Rio Grande do Sul
54,Alagoa,17,310130,-22.171,-44.6413,31.0,Minas Gerais
55,Alagoa Grande,46,250030,-7.03943,-35.6206,25.0,Paraíba
56,Alagoa Nova,28,250040,-7.05377,-35.7591,25.0,Paraíba
57,Alagoinha,0,250050,-6.94657,-35.5332,25.0,Paraíba
58,Alagoinha,11,260060,-8.4665,-36.7788,26.0,Pernambuco
59,Alagoinha do Piauí,12,220025,-7.00039,-40.9282,22.0,Piauí
60,Alagoinhas,242,290070,-12.1335,-38.4208,29.0,Bahia
61,Alambari,0,350075,-23.5503,-47.898,35.0,São Paulo
62,Albertina,0,310140,-22.2018,-46.6139,31.0,Minas Gerais
63,Alcantil,0,250053,-7.7366800000000016,-36.0511,25.0,Paraíba
64,Alcinópolis,0,500025,-18.3255,-53.7042,50.0,Mato Grosso do Sul
65,Alcobaça,59,290080,-17.5195,-39.2036,29.0,Bahia
