,UF,Média,Desvio-padrão
0,Alagoas,"49,5","13,9"
1,Paraíba,"47,5","15,0"
2,Rio de Janeiro,"47,3","14,1"
3,Amapá,"46,7","13,4"
4,Rio Grande do Sul,"46,4","13,9"
5,Pará,"46,3","14,0"
6,Rio Grande do Norte,"46,3","14,1"
7,Sergipe,"46,0","13,4"
8,Pernambuco,"45,9","14,4"
9,Maranhão,"45,6","14,3"
10,Bahia,"45,5","13,6"
11,Espírito Santo,"45,4","13,7"
12,São Paulo,"45,3","13,7"
13,Piauí,"45,1","14,1"
14,Distrito Federal,"44,6","13,1"
15,Minas Gerais,"44,5","13,5"
16,Amazonas,"44,5","13,4"
17,Paraná,"44,3","13,3"
18,Santa Catarina,"44,2","13,0"
19,Mato Grosso,"44,1","13,2"
20,Mato Grosso do Sul,"44,1","13,8"
21,Ceará,"44,1","14,1"
22,Goiás,"43,9","13,8"
23,Tocantins,"43,7","13,0"
24,Acre,"43,7","12,5"
25,Roraima,"43,6","12,9"
26,Rondônia,"42,9","13,1"
27,Brasil,"45,4","13,7"
