,UF,Feminino,%,Masculino,%,Total
0,Alagoas,2.3890000000000002,"52,2",2.186,"47,8",4.575
1,Rio de Janeiro,30.17,"50,8",29.195999999999998,"49,2",59.36600000000001
2,Pernambuco,8.121,"49,6",8.26,"50,4",16.381
3,Distrito Federal,6.292999999999999,"47,6",6.922000000000001,"52,4",13.215
4,Paraíba,3.208,"47,5",3.545,"52,5",6.752999999999999
5,Sergipe,1.767,"46,4",2.039,"53,6",3.806
6,Bahia,9.595,"46,3",11.113,"53,7",20.708000000000002
7,Amapá,2.234,"46,1",2.61,"53,9",4.843999999999999
8,Espírito Santo,4.427,"45,9",5.218,"54,1",9.645
9,São Paulo,57.488,"45,4",69.199,"54,6",126.68700000000001
10,Pará,3.658,"45,2",4.4319999999999995,"54,8",8.09
11,Rio Grande do Norte,2.543,"43,9",3.2489999999999997,"56,1",5.792000000000001
12,Rio Grande do Sul,12.573,"43,5",16.358,"56,5",28.930999999999997
13,Minas Gerais,20.835,"42,9",27.771,"57,1",48.606
14,Ceará,5.42,"42,8",7.232,"57,2",12.652000000000001
15,Roraima,339.0,"41,5",477.0,"58,5",816.0
16,Paraná,9.604,"40,6",14.057,"59,4",23.660999999999998
17,Mato Grosso do Sul,2.18,"39,5",3.345,"60,5",5.525
18,Tocantins,1.018,"39,4",1.565,"60,6",2.583
19,Rondônia,1.0759999999999998,"39,2",1.6680000000000001,"60,8",2.7439999999999998
20,Mato Grosso,2.133,"39,2",3.303,"60,8",5.436
21,Maranhão,2.378,"39,0",3.718,"61,0",6.096
22,Acre,377.0,"39,0",589.0,"61,0",966.0
23,Santa Catarina,6.147,"38,8",9.691,"61,2",15.838
24,Goiás,5.138999999999999,"38,5",8.221,"61,5",13.36
25,Amapá,313.0,"37,2",528.0,"62,8",841.0
26,Piauí,1.43,"37,0",2.43,"63,0",3.86
